attribute	harmonized
collection date	collection_date
estimated_size	estimated_size
host	host
lat_lon	lat_lon
biome	env_broad_scale
feature	env_local_scale
investigation_type	investigation_type
host taxid	host_taxid
project_name	project_name
geo_loc_name	geo_loc_name
source_mat_id	source_material_id
material	env_medium
ref_biomaterial	ref_biomaterial
num_replicons	num_replicons
isol_growth_condt	isol_growth_condt
env_package	env_package
strain	strain
isolation-source	isolation_source
culture-collection	culture_collection
sub_species	sub_species
specific host	host
investigation type	investigation_type
environmental package	env_package
subsrc_note	subsrc_note
sex	sex
developmental stage	dev_stage
Salinity	salinity
Temperature	temp
Nitrate	nitrate
Phosphate	phosphate
collection_date	collection_date
clone-lib	clone_lib
Strain	strain
depth	depth
substrain	substrain
cultivar	cultivar
nat-host	host
collection-date	collection_date
country	geo_loc_name
lat lon	lat_lon
tissue	tissue
population	population
Family ID	family_id
Relationship	family_relationship
Super Population Code	super_population_code
Population Description	population_description
Super Population Description	super_population_description
culture_collection	culture_collection
family_id	family_id
bio_material	bio_material
isolate	isolate
tissue-type	tissue
sample_type	sample_type
biotic_relationship	biotic_relationship
Diseases	disease
rel_to_oxygen	rel_to_oxygen
trophic_level	trophic_level
biovar	biovar
STRAIN	strain
cell-line	cell_line
ecotype	ecotype
Sex	sex
env_biome	env_broad_scale
env_feature	env_local_scale
env_material	env_medium
isolation_source	isolation_source
salinity	salinity
temperature	temp
Age	age
Collection Year	collection_date
Geographic Origin	geo_loc_name
cell_line	cell_line
Sample name	sample_name
geographic location (country and/or sea,region)	geo_loc_name
isolation source	isolation_source
serovar	serovar
environment (biome)	env_broad_scale
environment (feature)	env_local_scale
environment (material)	env_medium
orgmod_note	orgmod_note
geographic location (country and/or sea, region)	geo_loc_name
relationship	family_relationship
cell line	cell_line
variety	variety
host sex	host_sex
Type Strain	type_strain
Host Name	host
age	age
gender	sex
genotype	genotype
biomaterial provider	biomaterial_provider
cell type	cell_type
treatment	treatment
teleomorph	teleomorph
morphology	morphology
development stage	dev_stage
lat-lon	lat_lon
specific-host	host
Source of Isolate	isolation_source
Depth	depth
Dissolved Oxygen	diss_oxygen
pH	ph
Turbidity	turbidity
Chlorophyll	chlorophyll
Ammonium	ammonium
Silicate	silicate
Fluorescence	fluor
Oxygen	oxygen
collected_by	collected_by
breed	breed
developmental_stage	dev_stage
sample_name	sample_name
pathovar	pathovar
geographic location	geo_loc_name
DISEASE	disease
BIOMATERIAL_PROVIDER	biomaterial_provider
SEX	sex
body_site	tissue
source_name	source_name
GENDER	sex
AGE	age
cell-type	cell_type
totn	tot_nitro
conductivity	conduc
Total Nitrogen	tot_nitro
Total Phosphorus	tot_phosp
Density	density
Alkalinity	alkalinity
Chloride	chloride
Dissolved Organic Carbon	diss_org_carb
geographic_location	geo_loc_name
methane	methane
sulfate	sulfate
chloride	chloride
Humidity	humidity
organic matter	org_matter
Wind Speed	wind_speed
Pressure	pressure
Air Temperature	air_temp
dev_stage	dev_stage
biomaterial_provider	biomaterial_provider
Phaeopigments	phaeopigments
bacterial_production	bac_prod
Dissolved Inorganic Carbon	diss_inorg_carb
Dissolved Organic Nitrogen	diss_org_nitro
CELL_TYPE	cell_type
family ID	family_id
cell l ine	cell_line
Collection date	collection_date
tissue type	tissue
specimen_voucher	specimen_voucher
gap_accession	gap_accession
submitter handle	submitter_handle
biospecimen repository	biospecimen_repository
study name	study_name
biospecimen repository sample id	biospecimen_repository_sample_id
submitted sample id	submitted_sample_id
submitted subject id	submitted_subject_id
gap_sample_id	gap_sample_id
gap_subject_id	gap_subject_id
histological type	histological_type
subject is affected	subject_is_affected
gap_consent_code	gap_consent_code
gap_consent_short_name	gap_consent_short_name
Sample Name	sample_name
tissue/development stage	dev_stage
development point	dev_stage
sample type	sample_type
host_sex	host_sex
host_age	host_age
dominant hand	dominant_hand
host_taxon_id	host_taxid
agent	compound
elevation	elev
description	description
Collection Date	collection_date
ammonium	ammonium
chlorophyll	chlorophyll
density	density
nitrate	nitrate
org_carb	org_carb
org_nitro	org_nitro
organism_count	organism_count
oxy_stat_samp	oxy_stat_samp
phosphate	phosphate
silicate	silicate
temp	temp
tot_depth_water_col	tot_depth_water_col
samp_collect_device	samp_collect_device
samp_mat_process	samp_mat_process
samp_size	samp_size
tissue_type	tissue
DONOR_SEX	sex
TISSUE_TYPE	tissue
genotype/variation	genotype
dev stage	dev_stage
Country	geo_loc_name
cell_lines	cell_line
phenotype	phenotype
Description	description
Cell line	cell_line
study design	study_design
body site	tissue
analyte type	analyte_type
is tumor	is_tumor
bio-material	bio_material
host_disease	host_disease
BODYSITE	tissue
subclone	subclone
Experimental factor	experimental_factor
Host	host
Tissue	tissue
cells	cell_line
Sampling_date	collection_date
Cells	cell_line
ploidy	ploidy
DevelopmentalStage	dev_stage
OrganismPart	tissue
component_organism	component_organism
organ	tissue
KARYOTYPE	karyotype
sample collection date	collection_date
host ID	host_taxid
Geographic Location	geo_loc_name
Host ID	host_taxid
compound	compound
dose	dose
body_product	body_product
family_relationship	family_relationship
samp_store_temp	samp_store_temp
label	label
cell	cell_line
Disease	disease
Year isolated	collection_date
pregnancy	pregnancy
geographic location (country)	geo_loc_name
serogroup	serogroup
Geographic origin	geo_loc_name
Serogroup	serogroup
subsp.	sub_species
treatment protocol	treatment
forma	forma
host_species	host
geographic_origin	geo_loc_name
subsp	sub_species
geographic location (latitude and longitude)	lat_lon
project name	project_name
isolation and growth condition	isol_growth_condt
number of replicons	num_replicons
reference for biomaterial	ref_biomaterial
serotype	serotype
karyotype	karyotype
dev-stage	dev_stage
source tissue	tissue
sampling date	collection_date
CellLine	cell_line
host_subject_id	host_subject_id
host_taxid	host_taxid
race	race
developmental stages	dev_stage
study disease	study_disease
molecular data type	molecular_data_type
Biotic relationship	biotic_relationship
Host taxon ID	host_taxid
Pathogenicity	pathogenicity
Relationship to oxygen	rel_to_oxygen
Trophic level	trophic_level
Source material identifiers	source_material_id
Time of sample collection	collection_date
Geographic location	geo_loc_name
SAMPLE DESCRIPTION	description
geographic location (country and/or sea)	geo_loc_name
specific_host	host
host health state	host_health_state
dissolved organic carbon	diss_org_carb
mean annual and seasonal precipitation	annual_season_precpt
nitrite	nitrite
sample collection device or method	samp_collect_device
Conductivity	conduc
calcium	calcium
extreme_unusual_properties/heavy metals method	heavy_metals_meth
potassium	potassium
redox potential	redox_potential
sample material processing	samp_mat_process
CellType	cell_type
Population	population
Developmental Stage	dev_stage
Host Organism	host
Host Taxonomy ID	host_taxid
Culture Collection	culture_collection
BodyHabitat	body_habitat
BodySite	tissue
GeographicLocation	geo_loc_name
HostSex	host_sex
HostSpecies	host
HostTaxonId	host_taxid
SampleDate	collection_date
Treatment	treatment
BodyProduct	body_product
HOST_TAXID	host_taxid
cell_type	cell_type
CULTIVAR	cultivar
DEVELOPMENTAL STAGE	dev_stage
Soil Type	soil_type
host_status	host_health_state
collection_year	collection_date
StrainOrLine	strain
IHMC ethnicity	ethnicity
antibiotic regimen	antibiotic_regm
body habitat	body_habitat
disease stage	disease_stage
special diet	special_diet
Sample size	samp_size
Soil type	soil_type
Geographical location (lat_lon)	lat_lon
alkalinity	alkalinity
experimental factor	experimental_factor
substrate	substrate
SEROVAR	serovar
disease state	disease
cell lineage	cell_line
Water content of soil	water_content_soil
Storage conditions	store_cond
subtype	subtype
BMI	body_mass_index
Gender	sex
Breed	breed
growth protocol	growth_protocol
type_strain	type_strain
DiseaseState	disease
Experimental Factor: Sex	sex
Phenotype	phenotype
Mating type	mating_type
Genotype	genotype
diet	diet
host body temperature	host_body_temp
host common name	host
life stage	life_stage
sample storage duration	samp_store_dur
sample storage location	samp_store_loc
sample storage temperature	samp_store_temp
host name	host
host taxon id	host_taxid
disease	disease
Sample storage duration	samp_store_dur
geographic location (Country)	geo_loc_name
host tax-id	host_taxid
Host (scientific name)	host
height or length	height_or_length
host color	host_color
host subject id	host_subject_id
pooling of DNA extracts (if done)	pool_dna_extracts
Sample Size	samp_size
oxygen	oxygen
geographical location (longitude and longitude)	lat_lon
infra_specific_name	infra_specific_name
miscellaneous parameter	misc_param
collected-by	collected_by
Isolation and growth condition	isol_growth_condt
Observed biotic relationship	biotic_relationship
history/previous land use	previous_land_use
mean annual and seasonal temperature	annual_season_temp
relationship to oxygen	rel_to_oxygen
geographic origin	geo_loc_name
host species	host
Host Species	host
affection_status	affection_status
lab-host	lab_host
Isolate	isolate
DEVELOPMENTAL_STAGE	dev_stage
Current land use	cur_land_use
Environmental package	env_package
Investigation type	investigation_type
Project name	project_name
Sample collection device or method	samp_collect_device
bromide	bromide
diss_hydrogen	diss_hydrogen
ph	ph
magnesium	magnesium
disease status	disease
Tot-N	tot_nitro
Disease_State	disease
host status	host_health_state
diss_oxygen	diss_oxygen
fluorescence	fluor
diss_org_carb	diss_org_carb
part_org_nitro	part_org_nitro
Development stage	dev_stage
Elevation	elev
Environment (biome)	env_broad_scale
Environment (feature)	env_local_scale
Environment (material)	env_medium
Geographic location (country:region,area)	geo_loc_name
Geographic location (latitude and longitude)	lat_lon
air temperature regimen	air_temp_regm
climate environment	climate_environment
infra_specific_rank	infra_specific_rank
plant body site	plant_body_site
watering regimen	watering_regm
Family_ID	family_id
family_ID	family_id
relationship_type	family_relationship
special_diet	special_diet
Subspecies	sub_species
subspecies	sub_species
mating-type	mating_type
Cell Type	cell_type
host_organism	host
lab_host	lab_host
Sample type	sample_type
Sample collection_date	collection_date
host_taxon_ID	host_taxid
identified-by	identified_by
geographic location (latitude and                     longitude)	lat_lon
geographic location (country and/or                     sea,region)	geo_loc_name
Carbon dioxide	carb_dioxide
Development Stage	dev_stage
Sample material processing	samp_mat_process
developmental stage/cell type	cell_type
family relationship	family_relationship
tissue origin	tissue
tissue/cell type	cell_type
composite design/sieving (if any)	sieving
petroleum hydrocarbon	petroleum_hydrocarb
sub-species	sub_species
organism count	organism_count
Host organism	host
history/flooding	flooding
soil_taxonomic/FAO classification	fao_class
total nitrogen	tot_nitro
total organic carbon	tot_org_carb
TISSUE	tissue
child_of	child_of
Geographical location (country:region, location)	geo_loc_name
ethnicity	ethnicity
specimen-voucher	specimen_voucher
Tissue type	tissue
Geographical location	geo_loc_name
Pooling of DNA extracts (if done)	pool_dna_extracts
Storage conditions (fresh/frozen/other)	store_cond
HOST	host
isolate_name_alias	isolate_name_alias
Outbreak	outbreak
part_org_carb	part_org_carb
alt	altitude
encoded_traits	encoded_traits
altitude	altitude
experimental_factor	experimental_factor
aminopeptidase_activity	aminopept_act
bacterial_carbon_production	bacteria_carb_prod
diether_lipids	diether_lipids
dissolved_carbon_dioxide	diss_carb_dioxide
dissolved_hydrogen	diss_hydrogen
dissolved_organic_carbon	diss_org_carb
dissolved_oxygen	diss_oxygen
chemical_administration	chem_administration
alkyl_diethers	alkyl_diethers
bishomohopanol	bishomohopanol
biomass	biomass
glucosidase_activity	glucosidase_act
organic_nitrogen	org_nitro
mean_friction_velocity	mean_frict_vel
mean_peak_friction_velocity	mean_peak_frict_vel
nitrogen	nitro
oxygenation_status_of_sample	oxy_stat_samp
particle_classification	particle_class
particulate_organic_carbon	part_org_carb
n-alkanes	n_alkanes
organic_carbon	org_carb
organic_matter	org_matter
perturbation	perturbation
porosity	porosity
pressure	pressure
redox_potential	redox_potential
sample_storage_duration	samp_store_dur
sample_storage_location	samp_store_loc
sample_storage_temperature	samp_store_temp
petroleum_hydrocarbon	petroleum_hydrocarb
phospholipid_fatty_acid	phosplipid_fatt_acid
phaeopigments	phaeopigments
sulfide	sulfide
total_carbon	tot_carb
total_organic_carbon	tot_org_carb
turbidity	turbidity
water_content	water_content
miscellaneous_parameter	misc_param
total_nitrogen	tot_nitro
cell line specifics	cell_line
Cell type	cell_type
host organism	host
colection date	collection_date
Body product	body_product
Body site	tissue
Disease status	disease
Experimental Factor	experimental_factor
Geographic location (country and/or sea,region)	geo_loc_name
Host common name	host
Host subject id	host_subject_id
Host taxID	host_taxid
Investigation Type	investigation_type
gastrointestinal tract disorder	gastrointest_disord
disease/cell type	cell_type
organic carbon	org_carb
cultivar_acc	cultivar
Disease stage	disease_stage
clone	clone
dissolved oxygen	diss_oxygen
Sampling date	collection_date
growth media	growth_med
tissue-lib	tissue_lib
body product	body_product
gravidity	gravidity
host disease	host_disease
collected by	collected_by
cultivar/accession	cultivar
tissue/dev_stage	dev_stage
host-disease	host_disease
reference_material	reference_material
sample name	sample_name
humidity	humidity
light intensity	light_intensity
total carbon	tot_carb
disease_stat	disease
genetic variation	genotype
authority	authority
carbon/nitrogen ratio	carb_nitro_ratio
current vegetation	cur_vegetation
storage conditions (fresh/frozen/other)	store_cond
total N	tot_nitro
water content of soil	water_content_soil
dissolved inorganic carbon	diss_inorg_carb
extreme_unusual_properties/heavy metals	heavy_metals
isolate-name-alias	isolate_name_alias
geo-loc-name	geo_loc_name
sample-type	sample_type
Colection Date	collection_date
Environment (Biome)	env_broad_scale
Environment (Feature)	env_local_scale
Geographic location (country)	geo_loc_name
Geographic location (locality)	geo_loc_name
Isolation source	isolation_source
Material	env_medium
Water content	water_content
current land use	cur_land_use
link to climate information	link_climate_info
chemical administration	chem_administration
Diet	diet
sample gender	sex
cell lines	cell_line
passage history	passage_history
dissolved_organic_nitrogen	diss_org_nitro
tidal_stage	tidal_stage
lab host	lab_host
propagation	propagation
tot_phosp	tot_phosp
tot_diss_nitro	tot_diss_nitro
tot_nitro	tot_nitro
carb_dioxide	carb_dioxide
subspecific genetic lineage	subspecf_gen_lin
host_body_product	host_body_product
host_tissue_sampled	host_tissue_sampled
host_genotype	host_genotype
total_dissolved_nitrogen	tot_diss_nitro
sodium	sodium
tissue/cell lines	cell_line
host_phenotype	host_phenotype
sample size	samp_size
source material identifiers	source_material_id
family_role	family_relationship
Race	race
Karyotype	karyotype
Ethnicity	ethnicity
observed biotic relationship	biotic_relationship
encoded traits	encoded_traits
estimated size	estimated_size
extrachromosomal elements	extrachrom_elements
host specificity or range	host_taxid
known pathogenicity	pathogenicity
Geographic location (latitude, longitude)	lat_lon
organism part	tissue
celll line	cell_line
isolation_year	collection_date
host-sex	host_sex
Lat_Lon	lat_lon
body_habitat	body_habitat
host_common_name	host
Geographic location (Country)	geo_loc_name
isolate source	isolation_source
last meal	last_meal
soil type	soil_type
strain id	strain
smoker	smoker
outbreak	outbreak
birth date	birth_date
water content	water_content
sub-strain	substrain
environmental_package	env_package
elev	elev
sample_size	samp_size
cur_vegetation	cur_vegetation
annual_season_precpt	annual_season_precpt
annual_season_temp	annual_season_temp
microbial_biomass_meth	microbial_biomass_meth
microbial_biomass	microbial_biomass
soil_type	soil_type
fao_class	fao_class
store_cond	store_cond
tot_n	tot_nitro
tot_org_carb	tot_org_carb
water_content_soil	water_content_soil
light_intensity	light_intensity
nose/mouth/teeth/throat disorder	nose_mouth_teeth_throat_disord
host-tissue-sampled	host_tissue_sampled
Specific_host	host
total depth of water column	tot_depth_water_col
Methane	methane
horizon	horizon
local_class	local_class
tiss_cult_growth_med	tiss_cult_growth_med
health-state	health_state
Tissue Type	tissue
Environment (Material)	env_medium
Date of Collection	collection_date
pathogenicity	pathogenicity
cell line/clone	cell_line
sample description	description
cellType	cell_type
NARMS isolate number	narms_isolate_number
subspecf_gen_lin	subspecf_gen_lin
ph_meth	ph_meth
water_content_soil_meth	water_content_soil_meth
cur_land_use	cur_land_use
anamorph	anamorph
reactor_type	reactor_type
host-age	host_age
passage-history	passage_history
host-disease-stage	host_disease_stage
host-disease-outcome	host_disease_outcome
host-health-state	host_health_state
health_disease_stat	health_state
host_diet	host_diet
heavy_metals_meth	heavy_metals_meth
heavy_metals	heavy_metals
extreme_salinity	extreme_salinity
agrochem_addition	agrochem_addition
crop_rotation	crop_rotation
ihmc_ethnicity	ethnicity
total phosphorus	tot_phosp
dry mass	dry_mass
pH method	ph_meth
forma_specialis	forma_specialis
plant_body_site	plant_body_site
host_body_habitat	host_body_habitat
misc_param	misc_param
Compound	compound
Dose	dose
host_scientific_name	host
tot_mass	tot_mass
nitro	nitro
gastrointest_disord	gastrointest_disord
type status	type_status
repository	repository
culture collection	culture_collection
risk group	risk_group
Serovar	serovar
wastewater_type	wastewater_type
previous_land_use	previous_land_use
Pathotype	pathotype
host_body_temp	host_body_temp
samp_store_loc	samp_store_loc
host_last_meal	host_last_meal
host_life_stage	host_life_stage
pre-treatment	pre_treatment
Isolation Source	isolation_source
sub_strain	substrain
organism_part	tissue
current vegetation method	cur_vegetation_meth
history/agrochemical additions	agrochem_addition
history/crop rotation	crop_rotation
history/extreme events	extreme_event
history/previous land use method	previous_land_use_meth
soil type method	soil_type_meth
Temp	temp
total organic C method	tot_org_c_meth
host scientific name	host
forma-specialis	forma_specialis
identified_by	identified_by
extrachrom_elements	extrachrom_elements
host_spec_range	host_taxid
image_file	image_file
host-description	host_description
subgroup	subgroup
development_stage	dev_stage
sample_description	description
Geo_loc_name	geo_loc_name
disease-stage	disease_stage
mating_type	mating_type
mating type	mating_type
cell  line	cell_line
Collection_date	collection_date
isolate name alias	isolate_name_alias
cur_vegetation_meth	cur_vegetation_meth
sieving	sieving
tissue -type	tissue
Microbial biomass	microbial_biomass
n_alkanes	n_alkanes
samp_store_dur	samp_store_dur
petroleum_hydrocarb	petroleum_hydrocarb
sediment_type	sediment_type
Sample collection date	collection_date
haplotype	haplotype
foetal_health_stat	foetal_health_stat
gestation_state	gestation_state
air_temp_regm	air_temp_regm
pathotype	pathotype
sewage_type	sewage_type
sludge_retent_time	sludge_retent_time
tisssue	tissue
host_description	host_description
specimen voucher	specimen_voucher
health state	health_state
agrochem addition	agrochem_addition
pooling of DNA extracts	pool_dna_extracts
texture	texture
flooding	flooding
disease_stage	disease_stage
liver disorder	liver_disord
host_occupation	host_occupation
sewage type	sewage_type
wastewater type	wastewater_type
ArrayExpress-StrainOrLine	strain
ArrayExpress-Sex	sex
host diet	host_diet
primary_treatment	primary_treatment
health_state	health_state
sediment type	sediment_type
previous_land_use_meth	previous_land_use_meth
link_climate_info	link_climate_info
local_class_meth	local_class_meth
Serotype	serotype
Label	label
host_disease_outcome	host_disease_outcome
passage_history	passage_history
Previous land use	previous_land_use
soiltype	soil_type
Organic matter	org_matter
is_tumor	is_tumor
host age	host_age
Cell	cell_line
chem_administration	chem_administration
liver_disord	liver_disord
medic_hist_perform	medic_hist_perform
samp_salinity	samp_salinity
host_family_relationship	host_family_relationship
host_height	host_height
host_pulse	host_pulse
host_tot_mass	host_tot_mass
tot_org_c_meth	tot_org_c_meth
tot_carb	tot_carb
bacteria_carb_prod	bacteria_carb_prod
sample_collection_date	collection_date
current	water_current
Altitude	altitude
Sample Type	sample_type
Sampling Date	collection_date
Sample Sex	sex
host_disease_stage	host_disease_stage
fertilizer regimen	fertilizer_regm
pool_dna_extracts	pool_dna_extracts
pet_farm_animal	pet_farm_animal
weight_loss_3_month	weight_loss_3_month
drug_usage	drug_usage
ProjectName	project_name
component organism	component_organism
water content of soil method	water_content_soil_meth
Sulfide	sulfide
BIOMATERIAL PROVIDER	biomaterial_provider
dissolved inorganic nitrogen	diss_inorg_nitro
dissolved inorganic phosphorus	diss_inorg_phosp
dissolved organic nitrogen	diss_org_nitro
twin_sibling_presence	twin_sibling
cell subtype	cell_subtype
diss_inorg_carb	diss_inorg_carb
oxygenation status of sample	oxy_stat_samp
reactor type	reactor_type
Biome	env_broad_scale
bmi	body_mass_index
host_tax_id	host_taxid
Cell Line	cell_line
wind_speed	wind_speed
host_health_state	host_health_state
Sample description	description
MatingType	mating_type
host growth conditions	host_growth_cond
climate_environment	climate_environment
host_growth_cond	host_growth_cond
lifestage	life_stage
profile_position	profile_position
subsrc-note	subsrc_note
host_color	host_color
IHMC medication code	ihmc_medication_code
body-mass index	body_mass_index
Sample_Type	sample_type
medical history performed	medic_hist_perform
biomaterial	bio_material
Host Age	host_age
Host Gender	host_sex
body_mass_index	body_mass_index
height_or_length	height_or_length
Latitude and longitude	lat_lon
tissue_lib	tissue_lib
Growth_protocol	growth_protocol
diss_org_nitro	diss_org_nitro
Analyte Type	analyte_type
Cultivar	cultivar
host_body_site	host_tissue_sampled
Total nitrogen	tot_nitro
celltype	cell_type
life_stage	life_stage
Cell_line	cell_line
nose_mouth_teeth_throat_disord	nose_mouth_teeth_throat_disord
Ploidy	ploidy
strain or line	strain
Sample Description	description
org_matter	org_matter
Porosity	porosity
sample_Type	sample_type
Smoker	smoker
Family Id	family_id
MATING TYPE	mating_type
wind_direction	wind_direction
drainage_class	drainage_class
tot_n_meth	tot_n_meth
carb_nitro_ratio	carb_nitro_ratio
Sample-type	sample_type
Host_name	host
tissuetype	tissue
host_hiv_stat	host_hiv_stat
sub strain	substrain
Substrate	substrate
development stages	dev_stage
Isolation_source	isolation_source
growth_med	growth_med
disease_state	disease
extreme_event	extreme_event
fire	fire
host_id	host_taxid
